index,veracity,title
100048,true,"""I am a programme manager. What can I do to help people access contraception and family planning information and services?"""
100049,true,"""How can you clean soiled bedding, towels and linens from patients with COVID-19?"""
100050,true,"""What are the recommendation regarding disinfection of vehicles, goods and products coming from China or other COVID-19 affected countries?"""
100051,true,"""What personal protective equipment (PPE) should be used by healthcare workers (HCW) performing nasopharyngeal (NP) or oropharyngeal (OP) swabs on patients with suspected or confirmed COVID-19?"""
100052,true,"""Should blood centers routinely screen blood products for COVID-19 virus?"""
100053,true,"""Are boots, impermeable aprons, or coverall suits required as routine personal protective equipment (PE) for healthcare workers (HCW) caring for patients with suspected or confirmed 2019-nCoV infection?"""
100054,true,"""Can disposable medical face masks be sterilized and reused?"""
100055,true,"""Why does WHO recommend contact and droplet precautions and not routine use of airborne precautions for healthcare workers providing care to patients with suspected/confirmed 2019-nCoV infection?"""
100056,true,"""Does WHO recommend routine wearing masks for healthy people during the 2019 nCoV outbreak?"""
100057,true,"""Can patients with suspected and confirmed nCoV infection be cohorted in the same room?"""
100058,true,"""Do patients with suspected or confirmed 2019-nCoV need to be hospitalized if they have mild illness?"""
100059,true,"""Are specialized or referral hospitals required for patients with suspected or confirmed 2019-nCoV infection when hospitalization is needed?"""
100060,true,"""What are the disinfectants recommended for environmental cleaning in healthcare facilities or homes housing patients with suspected or confirmed 2019-nCoV infection?"""
100061,true,"""How long the 2019-nCoV can survive on a dry surface?"""
100062,true,"""Is there a special procedure regarding waste produced by patients with suspected or confirmed 2019-nCoV?"""
100063,true,"""Are there special procedures for the management of bodies of persons who have died from 2019-nCoV?"""
100064,true,"""Is there a model for setting up an isolation ward and types and products and health requirements?"""
100065,true,"""Can chlorine solutions also be used?"""
100066,true,"""What is physical activity?"""
100067,true,"""Why do we need it?"""
100068,true,"""How much physical activity is recommended?"""
100069,true,"""So how do I stay safe while exercising in COVID-19?"""
100070,true,"""How do I stay active in and around the home?"""
100071,true,"""How many malaria-affected countries have reported cases of COVID-19?"""
100072,true,"""Should core malaria vector control interventions be maintained in view of the rapid global spread of COVID-19?"""
100073,true,"""Should WHO-recommended preventive therapies be maintained in sub-Saharan Africa?"""
100074,true,"""Are there any changes to WHO guidance with respect to malaria diagnosis and treatment?"""
100075,true,"""What additional special measures may be needed in the context of COVID-19?"""
100076,true,"""Why is WHO particularly concerned about the spread of COVID-19 in malaria-affected areas?"""
100077,true,"""What are the key considerations for countries that are working to eliminate malaria or prevent re-establishment of transmission?"""
100078,true,"""Have there been disruptions in the global supply of key malaria-related commodities as a result of the COVID-19 pandemic?"""
100079,true,"""What is WHO doing to support malaria-affected countries in the context of COVID-19?"""
100080,true,"""What is WHO’s position on the use of chloroquine and hydroxychloroquine in the context of the COVID-19 response?"""
100081,true,"""Are people living with HIV at increased risk of being infected with the virus that causes COVID-19?"""
100082,true,"""Can antiretrovirals be used to treat COVID-19?"""
100083,true,"""Can antiretrovirals be used to prevent COVID-19 infection?"""
100084,true,"""What studies on treatment and prevention of COVID-19 with antiretrovirals are being planned?"""
100085,true,"""What is WHO’s position on the use of antiretrovirals for the treatment of COVID-19?"""
100086,true,"""What is WHO’s position on use of corticosteroids for the treatment of COVID-19?"""
100087,true,"""If countries use antiretrovirals for COVID-19, are there concerns about treatment shortages for people living with HIV?"""
100088,true,"""How do we ensure human rights and reduce stigma and discrimination?"""
100089,true,"""How can programmes assure continued access to HIV services?"""
100090,true,"""What is the role multi-month prescriptions and dispensing for antiretrovirals and other medicines?"""
100091,true,"""Can pregnant or postpartum women living with HIV transmit the COVID-19 virus to their unborn child or infant?"""
100092,true,"""Should pregnant and breastfeeding women living with HIV with COVID-19 and their newborns be managed differently?"""
100093,true,"""Are pregnant women at higher risk from COVID-19?"""
100094,true,"""I’m pregnant. How can I protect myself against COVID-19?"""
100095,true,"""Should pregnant women be tested for COVID-19?"""
100096,true,"""Can COVID-19 be passed from a woman to her unborn or newborn baby?"""
100097,true,"""What care should be available during pregnancy and childbirth?"""
100098,true,"""Do pregnant women with suspected or confirmed COVID-19 need to give birth by caesarean section?"""
100099,true,"""Can women with COVID-19 breastfeed?"""
100100,true,"""Can I touch and hold my newborn baby if I have COVID-19?"""
100101,true,"""I have COVID-19 and am too unwell to breastfeed my baby directly. What can I do?"""
100102,true,"""How are COVID-19 and influenza viruses similar?"""
100103,true,"""How are COVID-19 and influenza viruses different?"""
100104,true,"""What medical interventions are available for COVID-19 and influenza viruses?"""
100105,true,"""How should I wash fruit and vegetables in the time of #COVID19?"""
100106,true,"""How can I grocery shop safely in the time of #COVID19?"""
100107,true,"""Can #COVID19 be spread through coins and banknotes?"""
100108,true,"""What can I do to protect myself from #coronavirus?"""
100109,true,"""Could #ibuprofen worsen disease for people with #COVID19?"""
100110,true,"""Is wearing rubber gloves while out in the public effective in preventing the new coronavirus infection?"""
100111,true,"""How should I greet another person to avoid catching the new #coronavirus?"""
100112,true,"""Should I avoid shaking hands because of the new #coronavirus?"""
100113,true,"""How are #COVID19 & influenza viruses different?"""
100114,true,"""How are #COVID19 & influenza viruses similar?"""
100115,true,"""What can I do to protect myself from #COVID19?"""
100116,true,"""Should I wear a #mask to protect myself from #2019nCoV?"""
100117,true,"""How long does #2019nCoV survive on surfaces? """
100118,true,"""Can #2019nCoV be caught from a person who presents no symptoms? """
100119,true,"""Can the #2019nCoV be transmitted from person to person?"""
100120,true,"""How does #2019nCoV spread? """
100121,true,"""Who is at risk of developing severe symptoms from #2019nCoV? """
100122,true,"""Who can catch the #2019nCoV? """
100123,true,"""How dangerous is the #2019nCoV? """
100124,true,"""Can regularly rinsing your nose with saline solution help prevent infection with #2019nCoV?"""
100125,true,"""Can gargling mouthwash protect you from infection with the #2019nCoV?"""
100126,true,"""Can eating garlic help prevent infection with #2019nCoV?"""
100127,true,"""Is it safe to receive a letter or a package from China?"""
100128,true,"""Do vaccines against pneumonia protect you against #2019nCoV?"""
100129,true,"""How are people appointed to the expert advisory panel of the International Health Regulations Emergency Committee?"""
100130,true,"""How are the members of an International Health Regulations Emergency Committee chosen?"""
100131,true,"""Who are the members and advisers of the International Health Regulations Emergency Committee on the new #coronavirus (2019-nCoV)?"""
100132,true,"""Who are the members of an International Health Regulations Emergency Committee?"""
100133,true,"""How does the International Health Regulations Emergency Committee work?"""
100134,true,"""What are the International Health Regulations?"""
100135,true,"""Are there any specific medicines to prevent or treat the new #coronavirus (2019-nCoV)?"""
100136,true,"""Can pets at home spread the new #coronavirus (2019-nCoV)?"""
100137,true,"""Does the new #coronavirus (2019-nC0V) affect older people, or are younger people also susceptible?"""
100138,true,"""Are antibiotics effective in preventing and treating the new #coronavirus (2019-nCoV)?"""
100139,true,"""Is there a treatment for a novel #coronavirus infection?"""
100140,true,"""What are the symptoms of #coronavirus infection?"""
100141,true,"""What is a novel #coronavirus?"""
100142,true,"""What is a #coronavirus?"""
100143,true,"""There are currently no drugs licensed for the treatment or prevention of COVID-19"""
100144,true,"""Adding pepper to your soup or other meals DOES NOT prevent or cure COVID-19"""
100145,true,"""COVID-19 IS NOT transmitted through houseflies"""
100146,true,"""Spraying and introducing bleach or another disinfectant into your body WILL NOT protect you against COVID-19 and can be dangerous"""
100147,true,"""Drinking methanol, ethanol or bleach DOES NOT prevent or cure COVID-19 and can be extremely dangerous"""
100148,true,"""5G mobile networks DO NOT spread COVID-19"""
100149,true,"""Exposing yourself to the sun or to temperatures higher than 25C degrees DOES NOT prevent the coronavirus disease (COVID-19)"""
100150,true,"""You can recover from the coronavirus disease (COVID-19). Catching the new coronavirus DOES NOT mean you will have it for life."""
100151,true,"""Being able to hold your breath for 10 seconds or more without coughing or feeling discomfort DOES NOT mean you are free from the coronavirus disease (COVID-19) or any other lung disease."""
100152,true,"""Drinking alcohol does not protect you against COVID-19 and can be dangerous"""
100153,true,"""COVID-19 virus can be transmitted in areas with hot and humid climates"""
100154,true,"""Cold weather and snow CANNOT kill the new coronavirus."""
100155,true,"""Taking a hot bath does not prevent the new coronavirus disease"""
100156,true,"""The new coronavirus CANNOT be transmitted through mosquito bites."""
100157,true,"""Are hand dryers effective in killing the new coronavirus?"""
100158,true,"""Ultra-violet (UV) lamps should not be used to disinfect hands or other areas of your skin"""
100159,true,"""How effective are thermal scanners in detecting people infected with the new coronavirus?"""
100160,true,"""Do vaccines against pneumonia protect you against the new coronavirus?"""
100161,true,"""Can regularly rinsing your nose with saline help prevent infection with the new coronavirus?"""
100162,true,"""Can eating garlic help prevent infection with the new coronavirus?"""
100163,true,"""Does the new coronavirus affect older people, or are younger people also susceptible?"""
100164,true,"""Are antibiotics effective in preventing and treating the new coronavirus?"""
100165,true,"""Are there any specific medicines to prevent or treat the new coronavirus?"""
0,false,Facebook posts shared in at least three countries as scientists work to develop a COVID-19 vaccine claim to offer a legal way to refuse vaccination.
1,false,Wisconsin is Òclearly seeing a decline in COVID infectionsÓ.
2,false,Facebook posts claim a child who is infected with the novel coronavirus will be taken to a hospital unaccompanied.
3,false,IndiaÕs Ministry of Home Affairs banning citizens from posting about the new coronavirus on social media.
5,false,"42 Democratic senators, plus two Independents, voted against sending direct payments to Americans as part of the coronavirus economic stimulus package."
6,false,The photo of a vaccine for canine coronavirus proves that a vaccine exists for the novel coronavirus that causes COVID-19.
7,false,A picture of a reporter in protective medical gear is an example of how the American media ÒhypesÓ the COVID-19 pandemic.
8,false,"A photo taken by a journalist showing a beach in Jacksonville, Florida, isnÕt from after the government reopened the beach as news reports have claimed."
9,false,News photo from stay-at-home protest was doctored to add Confederate flag.
10,false,"Says a photo shows the ÒSAME EXACT PEOPLEÓ at Òtwo different beachesÓ in Los Angeles County and Jacksonville, Florida."
11,false,ÒMy wife is suffering from coronavirus and she is pregnant. The doctor said she wonÕt survive it.Ó
13,false,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.
14,false,The COVID-19 virus cannot spread in areas sprayed with eucalyptus oil vapor.
15,false,Goodwill Industries International has fired all its employees because of the coronavirus pandemic.
16,false,Says WisconsinÕs in-person election has caused a ÒsurgeÓ in new coronavirus cases
17,false,Nobel laureate Luc Montagnier claimed that the coronavirus genome contained sequences of HIV (the virus that causes AIDS).
18,false,TrumpÕs claim that ObamaÕs handling of the 2009 swine flu pandemic was a disaster.
19,false,"""House of Representatives Speaker Nancy Pelosi posted and deleted a video on her Twitter account, in which she calls on people to visit Chinatown in San Francisco."""
20,false,"House Speaker Nancy Pelosi delete a February 24, 2020, video of herself from Twitter in which she encouraged people to visit Chinatown in San Francisco."
21,false,The Food and Drug Administration (FDA) authorized BodysphereÕs two-minute COVID-19 testing kit.
22,false,"Posts shared more than 2,000 times on social media appear to show a 2009 tweet from Donald Trump criticizing then-president Barack ObamaÕs handling of the H1N1 pandemic and placing ÒALL responsibilityÓ on presidents in a crisis."
23,false,AmazonÕs Alexa says the government released the coronavirus.
24,false,"In the United States, there are Ò360,000 (deaths) a year from swimming pools. But we donÕt shut the country down for that.Ó"
25,false,Hospitals compensated 15% more for COVID-19 patients under the stimulus package and New York City hospitals are inflating their coronavirus numbers.
26,false,A video argues that the pandemic could have resulted from the accidental or intentional release of either a natural virus under study or an artificial virus that was bioengineered (manmade).
27,false,Says Democrats are on vacation until May 4 and Òrefuse to come backÓ to sign a bill to help small businesses.
28,false,"ÒThis is COVID-19, not COVID-1, folks. And so you would think the people charged with the World Health Organization facts and figures would be on top of that.Ó"
29,false,Thieves are handing out chemically doused face masks to knock people out before robbing them.
30,false,Economic stimulus payments to U.S. citizens will either reduce future tax refunds or will have to be paid back.
31,false,"Valley County, Montana, mandated pink arm bands for residents who had submitted to quarantine protocol."
32,false,"Gov. Andrew Cuomo Òwas simply saying if we can share 20 percent of your excess, your non-used ventilators, to help people in other parts of the state on a voluntary basis, that would be great. Of course, there was a reaction to that, which was not positive.Ó"
33,false,TrumpÕs claims about how quickly WHO acted to announce human-to-human transmission
34,false,Video shows an orangutan who started washing its hands after watching the zookeepers do so during the coronavirus pandemic.
35,false,"The news media has tried to pass off one manÕs death, attributed to complications from COVID-19, as two separate cases."
37,false,ÒMichigan Governor Gretchen Whitmer bans buying US flags during lockdown.Ó
38,false,"ÒThe president looks like he was ahead of the curve Ð as you know, he talks about this all the time Ð on shutting down travel from China.Ó"
39,false,Joe DiffieÕs death was labeled Òas a COVID-19 death and it wasnÕt!Ó
40,false,Trump says that as president he has ÒtotalÓ authority to re-open states amid the COVID-19 pandemic.
41,false,"Average American has less than two-tenths of one percent chance of getting coronavirus, and thus public health officials overreacted to the pandemic."
42,false,"Trump claims Òit is the decision of the President,Ó not governors, to Òopen up the states.Ó"
43,false,"The US $1,200 coronavirus relief checks this year are Òjust an advance on your next tax return. É Next year, youÕre automatically going to owe $1,200 come tax season.Ó"
44,false,Says American NIAID director Dr. Anthony Fauci Òstands to lose 100 million dollars on Bill Gates ÔvaccineÕ for the coronavirus. Because he invested in this vaccine.Ó
45,false,Numbers in a photo about death tolls from COVID-19 show that the pandemic is a con.
46,false,Michigan Gov. Gretchen Whitmer banned sale of American flags during COVID-19 pandemic.
47,false,A photo shared thousands of times on Facebook claims to show the throat of a novel coronavirus patient.
48,false,COVID-19 stimulus checks are an advance on 2020 tax refunds.
49,false,Dr. Anthony Fauci Òwas telling people on February 29th that there was nothing to worry about and it posed no threat to the US public at large.Ó
50,false,Calling 1-800-382-5277 or 1-800-746-6373 gives Americans information on their coronavirus stimulus checks.
51,false,Says Michigan COVID-19 order bans gardening and the sale of vegetable seeds and fruit.
52,false,Mosques allowed to stay open in the US during the coronavirus epidemic while churches are forced to close.
53,false,15 major global pandemics all originated in China.
54,false,President Donald Trump referred to the coronavirus as a ÒhoaxÓ or Òpolitical conspiracy.Ó
55,false,Pentagon confirms coronavirus accidentally got into chemtrail supply train.
58,false,ChinaÕs Communist government created the novel coronavirus in a laboratory and released it into the world as a deadly bioweapon.
59,false,Viral publication says a video shows a Ògay party in Italy few weeks before COVID-19.Ó
60,false,"ÒPer order from @GovWhitmer, people in Michigan are now banned from purchasing a new baby car seat in stores.Ó"
61,false,ÒMass vaccination for COVID-19 in Senegal was started yesterday (4/8) and the first 7 CHILDREN who received it DIED on the spot.Ó
62,false,Soap and hand sanitizer can be used to kill coronavirus in the body.
63,false,"Viral video with Dr. Shiva Ayyadurai proves Fauci, White House and others are members of deep state."
64,false,Herd immunity is probably why California has far fewer COVID-19 deaths than New York.
65,false,"ÒChurch services canÕt resume until weÕre all vaccinated, says Bill Gates.Ó"
66,false,COVID-19 mass vaccine in Senegal that began in West Africa killed the first seven children who received it.
67,false,CDC admitted to lying about COVID-19 death stats.
68,false,Top German virologist JŸrgen Rissland recommended drinking whiskey to combat COVID-19.
69,false,Bill Gates is plotting to use COVID-19 testing and a future vaccine to track people with microchips.
70,false,"COVID-19 causes prolonged and progressive hypoxia (starving your body of oxygen) by binding to the heme groups in hemoglobin in your red blood cells. People are simply desaturating (losing O2 in their blood), and thatÕs what eventually leads to organ failures that kill them, not any form of ARDS or pneumonia."
72,false,COVID-19 vaccine trial killed 7 children in Senegal.
73,false,U.S. Speaker of the House Nancy Pelosi said she wonÕt pass new economic stimulus package unless senior citizens are excluded.
74,false,"Social media posts recommend tonic water and zinc as a cure for a novel coronavirus infection, as the drink contains quinine, whose synthetic relative hydroxychloroquine is on trial as a COVID-19 treatment."
75,false,US arrests the man who created Covid-19.
76,false,"India is suing Microsoft founder Bill Gates because of his vaccine against coronavirus that killed 77,000 girls."
79,false,Coronavirus will be exterminated if lockdowns are lifted.
80,false,The number of deaths from COVID-19 are exaggerated.
82,false,Michigan governor violated social distancing order while signing stay-at-home order.
83,false,Posts claim that the speaker of the Winsconsin state assembly Robin Vos wore protective gear that Òelection workers he forced to work É do not have.Ó
84,false,5G exposure/radiation pollution compromises the structure and function of hemoglobin in cells and worsens COVID-19 pandemic.
85,false,"A video has been viewed tens of thousands of times on Twitter, Facebook and YouTube alongside a claim that it shows the US Federal Bureau of Investigation (FBI) raiding a synagogue that was used to hoard face masks and other medical equipment."
86,false,Steam from boiling oranges kills COVID-19.
88,false,ÒEveryone is only dying of coronavirus now.Ó
89,false,"Facebook posts claims the Asian, Hong Kong, swine and bird flus each Òkilled more people than coronavirus.Ó"
90,false,Queen Elizabeth said Philippine President Rodrigo Duterte Òis the kind of leader who knows the way É Filipinos are very lucky to have him.Ó
91,false,A photo shows South Carolina after stay-at-home orders were announced.
92,false,The Obama administration left President Donald Trump with a Òstockpile with a cupboard that was bare.Ó
93,false,ÒSame little boy died of COVID-19 in three different countries. Still donÕt believe the media is #fakenews?Ó
95,false,ÒThe North Carolina and Virginia State line is closed. Nothing in or out.Ó
96,false,A poem about people staying home was written by Kathleen OÕMara in 1869.
97,false,Ò59 people die as pastor gives them Dettol to drink in church to prevent coronavirus.Ó
98,false,"Asian flu, Hong Kong flu, swine flu and bird flu killed more people than coronavirus has today. And that the government never shut down anything for those."
99,false,"Claim that televangelist Pat Robertson said some young people Òare doing all kinds of unnatural things with their sex organs. When people do that, they transfer all kinds of chemicals from ladiesÕ private parts and thatÕs where I think the (corona)virus came from.Ó"
100,false,People are handing out masks Òdoused with chemicals which knocks you out coldÓ so they can rob you.
101,false,"Former NYC Mayor Rudolph Giuliani said he Òbought $2M in shares of Novartis, a primary supplier of hydroxychloroquineÓ in early February."
102,false,Coronavirus is fake or a made-up ploy by 5G.
104,false,Photo of a mannequin being wheeled into a hospital shows the COVID-19 coverup.
106,false,Hospital is caught using a dummy in pandemic footage.
107,false,"ÒIn Italy, they have thrown their money on the streets. A clear message to the whole world that money is not enough when health is in danger.Ó"
109,false,Coronavirus death toll in the U.S. is inflated by inclusion of unrelated deaths.
110,false,President Trump has repeatedly touted the anti-malarial medications hydroxychloroquine and chloroquine as the much-needed solution to covid-19
111,false,"Social media posts shared tens of thousands of times claim White House adviser Dr. Anthony Fauci stands alone in insisting hydroxychloroquineÕs effectiveness against COVID-19 is unproven, while Italy, France, Spain and Brazil say it Òworks.Ó"
112,false,Says 44 US senators Òvoted NOT to send stimulus checks.Ó
113,false,The NBA is asking President Donald Trump to Òresign or weÕll never play again.Ó
114,false,President Donald TrumpÕs statement that lupus patients are not vulnerable to COVID-19 is not true.
115,false,New data shows that 21 million Chinese died from the coronavirus.
118,false,Suggestion that Trump urged sick people to get out and vote during COVID-19 pandemic.
119,false,"Ron Johnson said Americans should go back to work, because Òdeath is an unavoidable part of life.Ó"
120,false,North Carolina Òhospital beds are typically 85% full across the state.Ó
121,false,"ÒWeÕve got to give the American public a rough estimate of how long we think this is going to take, based mostly on the South Korean model, which seems to be the trajectory that we are on, thankfully, and not the Italian model.Ó"
123,false,Says the U.S. is developing an ÒantivirusÓ that includes a chip to track your movement.
124,false,"Big Pharma, Dr. Anthony Fauci and Bill Gates want to ban hydroxychoroquine."
125,false,ÒThe Chinese Communist Party is using Zoom as a way to spy on our citizens.Ó
126,false,Photo on biography of a boy who died from coronavirus.
127,false,ÒJoe Exotic tests positive for coronavirus in prison. ItÕs been confirmed.Ó
129,false,Walmart has adopted staggered shopping days based on age in response to the pandemic.
130,false,"ÒWe were slow with the testing, but very quick with the travel ban. And thatÕs been much more critical in saving lives.Ó"
131,false,Walmart is adopting a staggered schedule due to the coronavirus.
132,false,Says Nostradamus predicted the coronavirus in a 1551 passage about a plague spreading from the east.
134,false,Israeli recipe for lemon and bicarbonate drink is a coronavirus cure.
135,false,Video claiming you canÕt catch coronavirus.
136,false,"Kennedy Center, PBS donated to Democrats after getting COVID-19 stimulus money."
137,false,In New York Òevery contaminated corpse belongs to the stateÓ and will be incinerated without any Òwakes or memorial services to pay your last respects.Ó
138,false,Says Goodwill used the pandemic Òto fire all of their employees instead of laying them off.Ó
139,false,Goodwill laid off all employees due to COVID-19.
140,false,Says video shows Òthe Chinese are destroying the 5G poles as they are aware that it is the thing triggering the corona symptoms.Ó
143,false,TrumpÕs claim that he imposed the first travel ban on China.
145,false,Audio of Biden calling the coronavirus a hoax.
146,false,"ÓIf you line up all the countries that have done (Covid-19) testing on a per-capita basis, weÕre [the US] at the bottom of the list.Ó"
148,false,ÒRivers in Oklahoma are full of catfish carrying the virus.Ó
149,false,Governors across the U.S. are announcing that the current school year will be repeated due to coronavirus school closings.
150,false,A video purportedly showing COVID-19 victims in body bags strewn across the floor of a New York hospital was shared several thousand times in multiple languages on social media.
152,false,"Facebook posts shared thousands of times feature a video of U.S. officials talking to reporters, with captions claiming they are announcing the arrest of a Chinese scientist."
153,false,Coronavirus does not cause a runny nose; is killed by temperatures above 26 degrees; causes lung fibrosis within days of infection; can be diagnosed by holding your breath for 10 seconds; and can be cured in the early stages by drinking plenty of water.
154,false,The coronavirus has been ÒreleasedÓ by China [É] it was purposely propagated by the Chinese themselves.
156,false,Alkaline diet protects against the coronavirus.
157,false,A series of statements by Joe Biden claiming he called for action before he did
158,false,Empty hospital lots and waiting rooms are indicative of a coronavirus hoax.
159,false,"ÒNow, theyÕre doing tests on airlines Ñ very strong tests Ñ for getting on, getting off. TheyÕre doing tests on trains Ñ getting on, getting off.Ó"
160,false,Missouri students will have to repeat the school year because of COVID-19 school closings.
161,false,NYT invented the video of a doctor fighting coronavirus in hospital.
162,false,Thousands of Facebook users in the United States are sharing 1-800 numbers that are supposed to help track stimulus payments promised by the federal government under a novel coronavirus economic aid package.
163,false,"The army is patrolling all the streets, towns and villages in Ireland."
164,false,Says thereÕs an 800 number you can call to track the status of your stimulus check.
165,false,"If you ask AmazonÕs Alexa about the origin of the coronavirus pandemic, it says Òthe government plannedÓ it."
166,false,"Social media posts shared thousands of times advocate 10 methods to prevent a novel coronavirus infection, citing recommendations allegedly stemming from autopsies on COVID-19 victims, including in China, where the virus first emerged."
167,false,"Posts on social media claim there is a US patent for the novel coronavirus and a European patent for a vaccine, citing specific patent numbers."
170,false,Video tries to show coronavirus is fake and not dangerous.
171,false,Students in America have to repeat the same grade next year.
172,false,Lemon juice and bicarbonate mixture prevents and cures COVID-19 in Israel.
173,false,Coronavirus is caused by 5G.
174,false,Says certain states are banning the sale of alcohol.
175,false,ÒWe inherited a broken testÓ for COVID-19.
176,false,World Economic Forum is a Òfascist cabalÓ manipulating coronavirus.
177,false,Big Pharma is behind COVID-19 deaths.
178,false,CBS aired wrong video footage of a coronavirus hospital.
179,false,COVID-19 is a hoax or scapegoat for economic disaster.
180,false,Taking a flu shot causes false positive results on COVID-19 tests.
182,false,Says Nancy PelosiÕs Òdaughter is on the board of the Kennedy Center so thatÕs why it was so important to send them all that money.Ó
183,false,Whether microwaving face masks sanitizes them.
184,false,Did Kennedy Center give DNC $5 million after getting relief from coronavirus stimulus?
185,false,COVID-19 not being blamed for deaths due to unrelated causes.
186,false,"President Donald Trump claims he ÒdidnÕt say thatÓ some of the medical equipment that governors are requesting, they donÕt actually need."
187,false,"CEOs got advance notice of COVID, then resigned to dump stock."
188,false,ÒQueen Elizabeth tests positive for COVID-19.Ó
189,false,Says COVID-19 remains in the air for eight hours and that everyone is now required to wear masks Òeverywhere.Ó
190,false,Says a Ò5G Law Passed while everyone was distractedÓ with the coronavirus pandemic and lists 20 symptoms associated with 5G exposure.
191,false,"Posts shared more than 20,000 times on Facebook feature a photo of a crying child and two others showing a woman and a man in hospital beds, claiming that the boyÕs parents are infected with the novel coronavirus"
